"Industry","All categories: Occupation (full)","1 Managers, directors and senior officials","11 Corporate managers and directors","111 Chief Executives and Senior Officials","112 Production Managers and Directors","113 Functional Managers and Directors","115 Financial Institution Managers and Directors","116 Managers and Directors in Transport and Logistics","117 Senior Officers in Protective Services","118 Health and Social Services Managers and Directors","119 Managers and Directors in Retail and Wholesale","12 Other managers and proprietors","121 Managers and Proprietors in Agriculture Related Services","122 Managers and Proprietors in Hospitality and Leisure Services","124 Managers and Proprietors in Health and Care Services","125 Managers and Proprietors in Other Services","2 Professional occupations","21 Science, research, engineering and technology professionals","211 Natural and Social Science Professionals","212 Engineering Professionals","213 Information Technology and Telecommunications Professionals","214 Conservation and Environment Professionals","215 Research and Development Managers","22 Health professionals","221 Health Professionals","222 Therapy Professionals","223 Nursing and Midwifery Professionals","23 Teaching and educational professionals","231 Teaching and Educational Professionals","24 Business, media and public service professionals","241 Legal Professionals","242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors","244 Welfare Professionals","245 Librarians and Related Professionals","246 Quality and Regulatory Professionals","247 Media Professionals","3 Associate professional and technical occupations","31 Science, engineering and technology associate professionals","311 Science, Engineering and Production Technicians","312 Draughtspersons and Related Architectural Technicians","313 Information Technology Technicians","32 Health and social care associate professionals","321 Health Associate Professionals","323 Welfare and Housing Associate Professionals","33 Protective service occupations","331 Protective Service Occupations","34 Culture, media and sports occupations","341 Artistic, Literary and Media Occupations","342 Design Occupations","344 Sports and Fitness Occupations","35 Business and public service associate professionals","351 Transport Associate Professionals","352 Legal Associate Professionals","353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals","355 Conservation and Environmental associate professionals","356 Public Services and Other Associate Professionals","4 Administrative and secretarial occupations","41 Administrative occupations","411 Administrative Occupations: Government and Related Organisations","412 Administrative Occupations: Finance","413 Administrative Occupations: Records","415 Other Administrative Occupations","416 Administrative Occupations: Office Managers and Supervisors","42 Secretarial and related occupations","421 Secretarial and Related Occupations","5 Skilled trades occupations","51 Skilled agricultural and related trades","511 Agricultural and Related Trades","52 Skilled metal, electrical and electronic trades","521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades","523 Vehicle Trades","524 Electrical and Electronic Trades","525 Skilled Metal, Electrical and Electronic Trades Supervisors","53 Skilled construction and building trades","531 Construction and Building Trades","532 Building Finishing Trades","533 Construction and Building Trades Supervisors","54 Textiles, printing and other skilled trades","541 Textiles and Garments Trades","542 Printing Trades","543 Food Preparation and Hospitality Trades","544 Other Skilled Trades","6 Caring, leisure and other service occupations","61 Caring personal service occupations","612 Childcare and Related Personal Services","613 Animal Care and Control Services","614 Caring Personal Services","62 Leisure, travel and related personal service occupations","621 Leisure and Travel Services","622 Hairdressers and Related Services","623 Housekeeping and Related Services","624 Cleaning and Housekeeping Managers and Supervisors","7 Sales and customer service occupations","71 Sales occupations","711 Sales Assistants and Retail Cashiers","712 Sales Related Occupations","713 Sales Supervisors","72 Customer service occupations","721 Customer Service Occupations","722 Customer Service Managers and Supervisors","8 Process, plant and machine operatives","81 Process, plant and machine operatives","811 Process Operatives","812 Plant and Machine Operatives","813 Assemblers and Routine Operatives","814 Construction Operatives","82 Transport and mobile machine drivers and operatives","821 Road Transport Drivers","822 Mobile Machine Drivers and Operatives","823 Other Drivers and Transport Operatives","9 Elementary occupations","91 Elementary trades and related occupations","911 Elementary Agricultural Occupations","912 Elementary Construction Occupations","913 Elementary Process Plant Occupations","92 Elementary administration and service occupations","921 Elementary Administration Occupations","923 Elementary Cleaning Occupations","924 Elementary Security Occupations","925 Elementary Sales Occupations","926 Elementary Storage Occupations","927 Other Elementary Services Occupations"

"35.1 Electric power generation, transmission and distribution",105158,10175,9295,167,7012,1677,49,231,13,33,113,880,14,54,12,800,21073,13763,443,9538,3180,510,92,298,120,16,162,157,157,6855,270,5010,495,37,10,834,199,16923,5599,3959,360,1280,292,21,271,202,202,399,282,85,32,10431,56,125,3656,4057,35,2502,10537,8939,134,1975,1226,4915,689,1598,1598,18187,373,373,15576,480,2823,143,11004,1126,1912,1523,248,141,326,28,34,139,125,569,318,71,14,233,251,119,45,53,34,16262,4790,1403,3317,70,11472,10528,944,7211,5904,422,4048,726,708,1307,917,305,85,4221,1519,153,350,1016,2702,312,544,798,19,874,155
"35.2 Manufacture of gas; distribution of gaseous fuels through mains",45986,3597,3271,29,2474,542,24,130,4,11,57,326,5,19,4,298,6566,4479,53,3081,1190,122,33,100,34,12,54,47,47,1940,102,1373,165,13,6,221,60,5667,1393,919,94,380,128,25,103,43,43,143,95,36,12,3960,11,39,1239,1897,4,770,4209,3637,30,781,476,2065,285,572,572,10703,93,93,1938,128,787,64,892,67,8510,8079,109,322,162,20,15,73,54,207,140,29,2,109,67,27,16,21,3,9441,2120,953,1155,12,7321,6512,809,3995,2652,1097,734,175,646,1343,1151,142,50,1601,478,10,196,272,1123,148,185,151,6,567,66
"35.3 Steam and air conditioning supply",589,59,42,0,21,13,0,4,0,0,4,17,0,4,0,13,57,32,3,25,4,0,0,6,1,0,5,2,2,17,2,13,0,0,0,2,0,89,8,7,1,0,3,1,2,13,13,15,4,4,7,50,0,0,7,39,0,4,71,57,3,10,8,29,7,14,14,78,5,5,62,11,37,0,11,3,8,6,2,0,3,0,0,1,2,11,5,1,0,4,6,5,1,0,0,28,22,15,5,2,6,5,1,119,82,18,36,24,4,37,26,8,3,77,35,1,3,31,42,3,7,4,0,22,6
"E Water supply; sewerage, waste management and remediation activities",188277,21041,9638,257,5424,2066,105,1579,13,46,148,11403,36,112,19,11236,14909,8797,1125,4473,1987,1058,154,274,106,25,143,190,190,5648,139,3665,878,55,26,751,134,17515,5822,4395,264,1163,294,38,256,146,146,423,268,103,52,10830,33,183,2579,4932,307,2796,17788,15062,709,3893,2180,6841,1439,2726,2726,12385,600,600,7972,778,3394,1110,2381,309,3199,2407,291,501,614,75,69,261,209,1088,700,107,53,540,388,69,71,140,108,7686,2220,798,1350,72,5466,4666,800,52716,21160,1364,12383,2360,5053,31556,26263,4722,571,43149,5471,252,2349,2870,37678,863,31284,685,59,4387,400
"36 Water collection, treatment and supply",54280,5599,4968,64,3866,759,65,155,4,22,33,631,8,25,6,592,9091,5749,745,2994,1516,391,103,135,57,13,65,78,78,3129,85,2051,460,12,13,419,89,9145,4083,3133,188,762,156,16,140,59,59,177,111,45,21,4670,17,125,1423,1415,193,1497,5663,4866,63,1304,935,2217,347,797,797,5727,181,181,3533,253,1553,100,1516,111,1806,1492,84,230,207,14,10,78,105,305,197,47,5,145,108,33,26,33,16,5612,1220,239,960,21,4392,3785,607,11200,9908,178,8632,354,744,1292,1069,159,64,1938,817,35,459,323,1121,220,314,136,11,361,79
"37 Sewerage",9434,954,232,15,97,82,1,28,1,1,7,722,2,3,4,713,694,468,30,346,49,39,4,6,3,1,2,8,8,212,2,96,75,8,0,28,3,636,285,237,14,34,6,3,3,10,10,32,27,4,1,303,1,1,88,162,6,45,1071,849,33,193,100,413,110,222,222,959,43,43,532,29,244,36,213,10,363,284,12,67,21,3,2,8,8,48,35,3,3,29,13,0,3,4,6,128,45,28,17,0,83,73,10,3643,2887,43,1193,34,1617,756,638,106,12,1301,854,18,749,87,447,42,261,57,0,76,11
"38 Waste collection, treatment and disposal activities; materials recovery",117960,13763,4083,174,1293,1100,37,1358,5,21,95,9680,21,75,9,9575,4198,2101,314,875,382,486,44,120,39,11,70,99,99,1878,50,1325,156,34,11,264,38,6972,1300,907,45,348,126,18,108,70,70,198,117,53,28,5278,15,54,979,3043,101,1086,10321,8761,600,2265,1090,3948,858,1560,1560,5381,364,364,3738,477,1520,962,600,179,900,555,183,162,379,58,57,169,95,695,438,54,43,341,257,34,40,100,83,1897,926,516,363,47,971,791,180,35124,5794,923,2420,1932,519,29330,24422,4418,490,39609,3666,198,1101,2367,35943,585,30639,482,46,3888,303
"39 Remediation activities and other waste management services",6603,725,355,4,168,125,2,38,3,2,13,370,5,9,0,356,926,479,36,258,40,142,3,13,7,0,6,5,5,429,2,193,187,1,2,40,4,762,154,118,17,19,6,1,5,7,7,16,13,1,2,579,0,3,89,312,7,168,733,586,13,131,55,263,124,147,147,318,12,12,169,19,77,12,52,9,130,76,12,42,7,0,0,6,1,40,30,3,2,25,10,2,2,3,3,49,29,15,10,4,20,17,3,2749,2571,220,138,40,2173,178,134,39,5,301,134,1,40,93,167,16,70,10,2,62,7
"F Construction",2053677,197644,179768,1917,155907,15123,451,4178,174,423,1595,17876,229,1276,363,16008,163365,66390,709,55726,6763,1185,2007,2030,668,186,1176,1715,1715,93230,832,12773,74718,1242,307,2811,547,86893,24493,15361,6240,2892,3020,340,2680,1492,1492,8465,4771,3098,596,49423,216,420,16980,23003,195,8609,138720,96066,4447,27255,8609,43439,12316,42654,42654,1081911,15750,15750,227361,17673,39307,6012,159607,4762,823608,629169,168433,26006,15192,1480,1199,5998,6515,14159,9091,2140,311,6640,5068,980,953,2673,462,22766,13714,10146,3095,473,9052,7242,1810,194238,139568,4844,28855,7790,98079,54670,20754,30596,3320,153981,114617,1910,104704,8003,39364,4231,13408,6118,410,11525,3672
"41 Construction of buildings; 42 Civil engineering; 43 Specialised construction activities",2053677,197644,179768,1917,155907,15123,451,4178,174,423,1595,17876,229,1276,363,16008,163365,66390,709,55726,6763,1185,2007,2030,668,186,1176,1715,1715,93230,832,12773,74718,1242,307,2811,547,86893,24493,15361,6240,2892,3020,340,2680,1492,1492,8465,4771,3098,596,49423,216,420,16980,23003,195,8609,138720,96066,4447,27255,8609,43439,12316,42654,42654,1081911,15750,15750,227361,17673,39307,6012,159607,4762,823608,629169,168433,26006,15192,1480,1199,5998,6515,14159,9091,2140,311,6640,5068,980,953,2673,462,22766,13714,10146,3095,473,9052,7242,1810,194238,139568,4844,28855,7790,98079,54670,20754,30596,3320,153981,114617,1910,104704,8003,39364,4231,13408,6118,410,11525,3672
"G Wholesale and retail trade; repair of motor vehicles and motorcycles",4245405,727356,525800,4038,16021,53075,1155,33583,199,1516,416213,201556,1554,10628,854,188520,149769,48735,3220,13803,29212,439,2061,49453,42251,1037,6165,1972,1972,49609,1328,34576,2527,885,297,5244,4752,300265,28268,14907,1796,11565,19631,16462,3169,3053,3053,29510,11212,15764,2534,219803,326,663,32162,167599,97,18956,330506,264877,2161,74756,55504,109202,23254,65629,65629,376785,14742,14742,238012,3880,26217,177967,20993,8955,33478,22322,10407,749,90553,6221,2219,58491,23622,37886,21577,3557,1347,16673,16309,3246,8160,3660,1243,1624138,1554588,1368401,60539,125648,69550,53608,15942,245701,75649,18928,20428,29880,6413,170052,146511,18631,4910,452999,47264,5086,4414,37764,405735,20918,57825,17378,88700,177543,43371
"45.1 Sale of motor vehicles",164131,32368,21596,215,482,2149,32,662,8,15,18033,10772,24,188,12,10548,4333,1514,10,508,969,9,18,109,36,6,67,29,29,2681,38,2244,33,24,1,227,114,8944,1286,785,23,478,70,30,40,64,64,291,169,88,34,7233,4,18,1506,5166,1,538,29993,19985,61,6814,2168,9746,1196,10008,10008,24341,404,404,22183,174,942,17779,520,2768,1252,898,319,35,502,90,53,230,129,795,463,62,26,375,332,42,89,167,34,38640,34394,31768,517,2109,4246,2476,1770,13090,2565,220,632,1276,437,10525,10051,262,212,11627,736,61,222,453,10891,401,8110,458,104,1515,303
"45.2 Maintenance and repair of motor vehicles",295929,30679,3948,89,853,1112,19,727,32,27,1089,26731,35,162,22,26512,2779,1481,16,1092,346,15,12,150,55,6,89,67,67,1081,22,781,52,31,1,170,24,7097,1741,1510,37,194,168,125,43,360,360,325,184,77,64,4503,5,12,2493,1552,2,439,24625,14654,118,5018,1312,6626,1580,9971,9971,177472,1671,1671,167922,1267,6199,153860,1903,4693,5827,4098,1659,70,2052,552,120,829,551,1290,824,119,43,662,466,82,124,184,76,9504,6142,4769,260,1113,3362,2563,799,23656,14811,477,2250,11464,620,8845,8299,411,135,18827,1589,124,424,1041,17238,909,13915,464,77,1514,359
"45.3 Sale of motor vehicle parts and accessories",53137,10968,8637,56,511,1172,6,1223,2,12,5655,2331,7,40,5,2279,1493,724,4,383,321,8,8,34,11,2,21,19,19,716,11,507,16,5,2,156,19,4185,477,301,21,155,25,7,18,15,15,140,76,53,11,3528,1,3,517,2860,1,146,5589,4856,20,1739,1057,1654,386,733,733,2434,76,76,1948,101,750,771,238,88,275,189,76,10,135,40,14,37,44,223,155,22,13,120,68,13,31,17,7,9322,8635,7728,172,735,687,550,137,12503,2974,288,617,1934,135,9529,9060,414,55,6420,784,25,88,671,5636,286,351,75,53,4794,77
"45.4 Sale, maintenance and repair of motorcycles and related parts and accessories",9357,2286,1566,5,126,126,0,70,1,0,1238,720,1,12,1,706,155,94,2,44,43,1,4,2,1,0,1,1,1,58,0,50,1,1,0,2,4,648,122,99,1,22,5,1,4,6,6,35,14,14,7,480,0,3,74,383,0,20,865,635,4,225,68,283,55,230,230,3194,33,33,2947,19,427,2399,32,70,138,94,42,2,76,17,2,29,28,39,27,1,1,25,12,1,3,8,0,1306,1167,987,50,130,139,88,51,382,195,17,98,62,18,187,179,8,0,482,66,3,8,55,416,34,101,11,3,246,21
"46 Wholesale trade, except of motor vehicles and motorcycles",814664,167288,136296,1848,7670,23965,192,18300,49,440,83832,30992,432,1849,146,28565,41405,19630,1901,7352,9552,188,637,2025,1098,128,799,467,467,19283,474,13876,769,156,69,2746,1193,132041,10862,6170,718,3974,1227,790,437,601,601,6675,2211,4125,339,112676,225,244,15244,92450,33,4480,115226,97618,441,28166,18239,40424,10348,17608,17608,43831,2407,2407,22116,1511,9178,1374,9321,732,7925,6072,1482,371,11383,962,829,7731,1861,4892,3223,562,279,2382,1669,308,729,495,137,67222,54577,39007,6922,8648,12645,9349,3296,108242,27906,9160,10212,6727,1807,80336,65356,11601,3379,134517,21339,1472,1229,18638,113178,6248,7216,2249,1756,89857,5852
"47 Retail trade, except of motor vehicles and motorcycles",2865131,475370,347731,1743,5933,22306,898,12300,106,999,303446,127639,1028,8292,665,117654,97949,24453,1218,4153,17520,208,1354,47038,41004,886,5148,1339,1339,25119,772,16619,1616,661,217,1910,3324,134334,13405,5860,971,6574,18059,15477,2582,1974,1974,21522,8338,11140,2044,79374,84,370,11649,54122,59,13090,149992,123641,1494,31999,32284,48562,9302,26351,26351,123216,9996,9996,19875,783,8337,1721,8456,578,17523,10616,6659,248,75822,4480,1176,49307,20859,30359,16732,2749,974,13009,13627,2778,7095,2773,981,1489279,1441567,1277728,51202,112637,47712,37977,9735,86097,26487,8637,6286,8249,3315,59610,52698,5807,1105,278535,22197,3328,2396,16473,256338,12866,27865,14039,86631,78306,36631
"Wholesale and retail not otherwise specified",43056,8397,6026,82,446,2245,8,301,1,23,2920,2371,27,85,3,2256,1655,839,69,271,461,10,28,95,46,9,40,50,50,671,11,499,40,7,7,33,74,13016,375,182,25,168,77,32,45,33,33,522,220,267,35,12009,7,13,679,11066,1,243,4216,3488,23,795,376,1907,387,728,728,2297,155,155,1021,25,384,63,523,26,538,355,170,13,583,80,25,328,150,288,153,42,11,100,135,22,89,16,8,8865,8106,6414,1416,276,759,605,154,1731,711,129,333,168,81,1020,868,128,24,2591,553,73,47,433,2038,174,267,82,76,1311,128
"H Transportation and storage",1320378,104473,94566,1012,5834,13343,6959,65663,325,189,1241,9907,148,1211,99,8449,41275,20205,193,9457,10015,296,244,1395,443,83,869,555,555,19120,518,11948,3557,368,110,1865,754,75748,9572,5967,366,3239,1168,276,892,3091,3091,3106,2281,432,393,58811,20542,347,12371,16270,64,9217,122894,108686,2081,38169,35200,25816,7420,14208,14208,50912,2181,2181,36398,1367,7236,20071,6163,1561,8195,5259,1807,1129,4138,522,244,2695,677,68294,13927,1046,271,12610,54367,51990,1030,964,383,48510,11637,8406,2706,525,36873,33084,3789,527504,24457,3349,8744,4856,7508,503047,438573,13673,50801,280768,13161,802,2549,9810,267607,140671,14282,18323,1471,87976,4884
"49.1 Passenger rail transport, interurban; 49.2 Freight rail transport",78426,7177,6529,37,931,874,18,4538,16,13,102,648,3,74,8,563,6458,3441,16,2401,958,36,30,112,32,4,76,50,50,2855,49,1803,569,28,7,316,83,5525,1514,1170,82,262,142,20,122,168,168,207,153,30,24,3494,17,15,810,1044,2,1606,6136,5536,69,1575,1520,2064,308,600,600,7501,124,124,5736,303,986,2235,1995,217,1233,546,163,524,408,21,15,320,52,9785,384,48,13,323,9401,9229,60,59,53,5373,1080,726,219,135,4293,3927,366,27307,4227,114,1201,556,2356,23080,1414,240,21426,3164,385,21,142,222,2779,157,1108,376,35,669,434
"49.3 Other passenger land transport; 49.4 Freight transport by road and removal services",588451,36922,33432,290,1487,2387,69,28777,34,75,313,3490,80,390,38,2982,10195,3793,55,1796,1818,67,57,482,146,29,307,204,204,5716,173,2983,1805,141,23,369,222,12483,1904,1081,81,742,422,86,336,374,374,821,525,132,164,8962,212,142,2570,3544,11,2483,34287,28480,664,5944,10055,9262,2555,5807,5807,21132,1081,1081,15294,476,2344,10308,1423,743,3246,2207,813,226,1511,234,80,882,315,17324,10202,442,108,9652,7122,6297,313,353,159,15838,2772,1648,993,131,13066,12431,635,409918,11020,1924,4076,2173,2847,398898,383278,4511,11109,30352,2718,333,620,1765,27634,3452,5120,1335,231,15660,1836
"49.5 Transport via pipeline",726,70,61,1,35,10,1,14,0,0,0,9,0,0,0,9,121,87,2,67,14,2,2,1,1,0,0,0,0,33,0,19,5,2,0,6,1,108,43,28,1,14,2,1,1,1,1,7,4,1,2,55,12,2,12,17,0,12,75,67,1,6,15,36,9,8,8,172,7,7,53,11,27,0,12,3,104,97,1,6,8,0,0,6,2,10,6,1,0,5,4,4,0,0,0,34,4,2,1,1,30,27,3,101,77,26,26,12,13,24,15,6,3,35,18,0,17,1,17,1,1,3,0,12,0
"50 Water transport",36558,4392,3866,100,198,586,19,2771,53,9,130,526,5,209,5,307,2932,1792,12,1238,511,29,2,137,41,8,88,28,28,975,44,702,96,19,6,70,38,9622,443,206,11,226,90,41,49,112,112,809,731,31,47,8168,5035,26,1461,1271,2,373,6755,5899,71,1257,3006,1270,295,856,856,1536,68,68,655,90,152,155,193,65,232,160,62,10,581,23,6,538,14,1574,196,59,7,130,1378,1194,102,65,17,1432,417,287,103,27,1015,841,174,4668,474,62,214,99,99,4194,732,347,3115,3647,459,9,262,188,3188,151,223,251,19,2152,392
"51 Air transport",82153,5308,4850,129,272,875,18,3488,30,3,35,458,5,111,7,335,4227,2420,14,764,1612,12,18,120,42,6,72,46,46,1641,41,1151,43,28,14,244,120,17953,1612,1234,16,362,94,32,62,404,404,321,225,55,41,15522,11118,24,1044,2285,2,1049,6483,5802,60,1247,2899,1314,282,681,681,4256,92,92,3685,24,266,3127,201,67,273,187,62,24,206,45,5,113,43,32465,846,166,42,638,31619,31196,243,156,24,3344,457,323,108,26,2887,2142,745,5411,475,39,191,165,80,4936,1208,67,3661,2706,208,8,30,170,2498,177,309,643,15,1170,184
"52.1 Warehousing and storage",119913,13825,12972,139,891,1300,20,10429,8,23,162,853,21,82,12,738,3609,1603,21,385,1152,18,27,105,43,9,53,36,36,1865,37,1240,283,16,30,236,23,5048,940,437,29,474,57,14,43,107,107,176,115,49,12,3768,15,11,948,1835,4,955,12931,11778,78,1706,5842,3391,761,1153,1153,2862,161,161,1583,120,758,233,404,68,709,481,175,53,409,50,45,232,82,736,501,61,15,425,235,42,78,87,28,3159,1526,1176,287,63,1633,1286,347,19649,2588,594,893,773,328,17061,10855,5765,441,58094,4717,78,302,4337,53377,946,1838,1088,847,48173,485
"52.2 Support activities for transportation",131791,15214,13308,210,1037,1951,62,9664,168,30,186,1906,18,213,8,1667,8904,4719,50,2350,2171,107,41,193,75,17,101,103,103,3889,107,2489,616,85,16,411,165,17912,2230,1495,127,608,209,35,174,1566,1566,435,303,77,55,13472,4091,76,4159,3424,41,1681,19979,17823,671,3210,8470,4332,1140,2156,2156,9170,343,343,7068,262,1784,3284,1453,285,1290,818,220,252,469,86,18,274,91,5019,848,133,53,662,4171,3884,96,126,65,8212,1349,728,559,62,6863,6116,747,23153,3313,207,1088,620,1398,19840,7968,1564,10308,24228,1444,91,344,1009,22784,572,1706,13468,74,6476,488
"53 Postal and courier activities",282360,21565,19548,106,983,5360,6752,5982,16,36,313,2017,16,132,21,1848,4829,2350,23,456,1779,25,67,245,63,10,172,88,88,2146,67,1561,140,49,14,213,102,7097,886,316,19,551,152,47,105,359,359,330,225,57,48,5370,42,51,1367,2850,2,1058,36248,33301,467,23224,3393,4147,2070,2947,2947,4283,305,305,2324,81,919,729,482,113,1108,763,311,34,546,63,75,330,78,1381,944,136,33,775,437,144,138,118,37,11118,4032,3516,436,80,7086,6314,772,37297,2283,383,1055,458,387,35014,33103,1173,738,158542,3212,262,832,2118,155330,135215,3977,1159,250,13664,1065
"I Accommodation and food service activities",1492281,236168,18189,775,2461,8763,93,2694,69,315,3019,217979,258,209456,311,7954,16529,3084,156,951,1814,76,87,2292,533,159,1600,4376,4376,6777,465,4571,337,465,85,361,493,39069,2374,1258,104,1012,2256,667,1589,798,798,7195,4816,518,1861,26446,71,109,2863,18362,73,4968,63392,31857,845,12667,2797,12367,3181,31535,31535,311768,5406,5406,7816,598,4115,759,2201,143,9408,6355,2693,360,289138,686,206,287439,807,59007,16697,5353,309,11035,42310,7280,2451,9910,22669,74817,57627,51962,3297,2368,17190,14751,2439,36244,15186,6076,1982,1807,5321,21058,19741,793,524,655287,10874,1011,2018,7845,644413,4931,59692,8764,978,9826,560222
"55.1 Hotels and similar accommodation",238403,43411,3630,265,296,2604,15,168,12,49,221,39781,49,38505,31,1196,2997,747,24,226,463,18,16,217,45,18,154,96,96,1937,49,1590,72,54,6,40,126,13425,415,163,14,238,515,377,138,193,193,1947,710,142,1095,10355,16,23,1144,8267,14,891,29548,8813,111,4260,564,2711,1167,20735,20735,29806,1769,1769,2721,80,2026,84,496,35,2219,1263,831,125,23097,91,25,22796,185,27588,1982,485,107,1390,25606,1636,1277,1987,20706,4934,1299,1001,208,90,3635,2692,943,3990,3153,261,416,230,2246,837,707,82,48,82704,1140,176,307,657,81564,349,20936,1118,127,1641,57393
"55.2 Holiday and other short-stay accommodation",36037,11858,482,34,71,222,2,35,3,14,101,11376,38,10520,18,800,516,173,8,40,113,11,1,60,6,2,52,38,38,245,6,149,17,33,6,10,24,2215,111,47,9,55,170,38,132,45,45,901,585,30,286,988,5,7,107,666,28,175,3115,1777,28,439,162,877,271,1338,1338,3025,856,856,520,8,272,58,164,18,548,375,113,60,1101,12,5,1050,34,4384,525,194,20,311,3859,1331,162,1949,417,1257,872,734,57,81,385,289,96,1117,900,37,69,104,690,217,161,29,27,8550,330,108,104,118,8220,392,4220,504,17,218,2869
"55.3 Camping grounds, recreational vehicle parks and trailer parks",9833,3502,248,16,99,80,3,15,0,5,30,3254,17,3084,8,145,147,47,2,15,27,3,0,14,1,0,13,3,3,83,1,66,3,3,0,1,9,380,33,19,0,14,12,1,11,10,10,89,55,3,31,236,2,0,34,166,5,29,1087,582,7,174,30,292,79,505,505,1251,603,603,244,3,104,93,42,2,234,187,25,22,170,5,1,156,8,1167,130,11,12,107,1037,211,10,760,56,321,218,183,25,10,103,78,25,492,405,16,39,46,304,87,60,22,5,1486,212,72,110,30,1274,87,603,165,4,35,380
"55.9 Other accommodation",9875,2219,258,24,70,119,1,13,2,14,15,1961,16,1327,32,586,452,119,3,13,100,3,0,58,13,1,44,68,68,207,2,101,17,67,6,7,7,980,79,15,5,59,544,5,539,12,12,56,27,7,22,289,3,3,44,187,0,52,1228,686,29,184,47,364,62,542,542,594,42,42,150,5,83,5,53,4,162,107,32,23,240,6,0,229,5,1625,737,50,7,680,888,77,33,673,105,379,111,70,36,5,268,235,33,287,228,10,19,16,183,59,46,7,6,2111,75,9,24,42,2036,143,1017,245,13,66,552
"56.1 Restaurants and mobile food service activities",438820,72282,4095,144,326,989,28,1421,11,55,1121,68187,31,66558,64,1534,2546,545,31,140,330,17,27,382,102,14,266,175,175,1444,234,853,75,87,13,78,104,5881,447,267,24,156,202,67,135,97,97,880,691,103,86,4255,6,13,422,1858,10,1946,7724,4856,92,1882,361,2112,409,2868,2868,94207,521,521,1235,130,460,203,411,31,2211,1589,591,31,90240,238,60,89720,222,4823,1916,429,48,1439,2907,2072,307,413,115,44343,37154,34862,862,1430,7189,6394,795,13683,3541,2033,433,353,722,10142,9867,159,116,193331,2270,166,483,1621,191061,1989,7084,776,296,2417,178499
"56.2 Event catering and other food service activities",468153,48228,7441,167,1298,3801,24,917,25,129,1080,40787,52,38334,107,2294,8198,1008,62,363,538,18,27,1328,307,112,909,3906,3906,1956,136,1224,63,190,43,187,113,10448,1013,611,34,368,647,139,508,263,263,1084,708,150,226,7441,29,24,735,5160,14,1479,14924,11182,423,4196,1263,4405,895,3742,3742,142182,1002,1002,2118,259,858,226,734,41,2734,1909,757,68,136328,253,80,135761,234,15527,9971,3790,65,6116,5556,1035,422,3061,1038,20960,16080,13864,1572,644,4880,4482,398,14690,5628,3430,761,879,558,9062,8354,435,273,192996,5190,280,534,4376,187806,945,11420,3588,367,4531,166955
"56.3 Beverage serving activities",291160,54668,2035,125,301,948,20,125,16,49,451,52633,55,51128,51,1399,1673,445,26,154,243,6,16,233,59,12,162,90,90,905,37,588,90,31,11,38,110,5740,276,136,18,122,166,40,126,178,178,2238,2040,83,115,2882,10,39,377,2058,2,396,5766,3961,155,1532,370,1606,298,1805,1805,40703,613,613,828,113,312,90,301,12,1300,925,344,31,37962,81,35,37727,119,3893,1436,394,50,992,2457,918,240,1067,232,2623,1893,1248,537,108,730,581,149,1985,1331,289,245,179,618,654,546,59,49,174109,1657,200,456,1001,172452,1026,14412,2368,154,918,153574
"J Information and communication",1059032,123964,96348,5429,7402,78168,371,2358,69,380,2171,27616,136,7307,132,20041,430247,330085,1251,22226,304803,253,1552,3228,1240,317,1671,1807,1807,95127,2777,33879,3050,420,778,3197,51026,245373,53579,6695,895,45989,1507,425,1082,922,922,91899,78267,13070,562,97466,142,921,17744,67912,37,10710,82507,58298,1292,17284,7363,25249,7110,24209,24209,75196,1555,1555,62254,283,2306,559,58570,536,5426,3737,1501,188,5961,898,2900,1259,904,6757,3970,993,530,2447,2787,798,1297,537,155,49987,17922,13279,4196,447,32065,26454,5611,15476,10119,805,5559,2560,1195,5357,4557,409,391,29525,2288,195,522,1571,27237,7982,3317,3128,285,4008,8517
"58.1 Publishing of books, periodicals and other publishing activities",130913,19627,9435,450,1687,6202,38,550,4,49,455,10192,16,144,14,10018,45882,5520,101,352,4722,13,332,473,179,69,225,293,293,39596,399,4061,107,52,140,120,34717,35004,2511,965,145,1401,197,79,118,65,65,13774,8146,5525,103,18457,12,153,1842,15566,1,883,13436,10034,109,2969,1439,4473,1044,3402,3402,3230,141,141,475,19,150,30,259,17,371,254,107,10,2243,54,2026,111,52,725,419,154,14,251,306,71,119,97,19,4758,2885,1737,1102,46,1873,1449,424,1884,762,84,397,195,86,1122,999,75,48,6367,415,16,49,350,5952,4329,403,177,34,840,169
"58.2 Software publishing",2849,579,444,43,67,290,5,18,0,4,17,135,0,8,0,127,966,666,8,25,625,0,8,7,2,1,4,11,11,282,9,152,6,0,1,21,93,854,191,46,0,145,3,2,1,2,2,167,103,63,1,491,0,6,100,357,0,28,257,209,0,58,24,91,36,48,48,40,1,1,31,1,6,0,24,0,3,3,0,0,5,0,0,1,4,13,11,3,0,8,2,1,1,0,0,67,22,15,6,1,45,24,21,46,40,2,13,24,1,6,4,1,1,27,2,0,0,2,25,2,6,1,1,12,3
